street id;street name;period;count
983600;On or near Hospital;from 2019-01 till 2019-05;130
933847;On or near Shopping Area;from 2019-01 till 2019-05;130
934844;On or near Hospital;from 2019-01 till 2019-05;129
936927;On or near Petrol Station;from 2019-01 till 2019-05;129
953172;On or near Shopping Area;from 2019-01 till 2019-05;129
953528;On or near Westminster Bridge Road;from 2019-01 till 2019-05;129
956575;On or near Nightclub;from 2019-01 till 2019-05;129
954405;On or near Cutter Lane;from 2019-01 till 2019-05;127
587303;On or near Police Station;from 2019-01 till 2019-05;126
962237;On or near Glen Road;from 2019-01 till 2019-05;125
964990;On or near Goods Way;from 2019-01 till 2019-05;124
973863;On or near Shopping Area;from 2019-01 till 2019-05;124
1490083;Barking (station);from 2019-01 till 2019-05;123
956342;On or near Great Castle Street;from 2019-01 till 2019-05;123
976442;On or near Parking Area;from 2019-01 till 2019-05;123
1487938;Clapham Junction (station);from 2019-01 till 2019-05;123
956659;On or near Craig's Court;from 2019-01 till 2019-05;123
1488565;Liverpool Street (lu Station);from 2019-01 till 2019-05;123
946296;On or near Supermarket;from 2019-01 till 2019-05;123
960924;On or near Russell Square;from 2019-01 till 2019-05;122
953784;On or near Supermarket;from 2019-01 till 2019-05;122
966335;On or near Warwick Place;from 2019-01 till 2019-05;121
977884;On or near Shopping Area;from 2019-01 till 2019-05;121
956556;On or near Nightclub;from 2019-01 till 2019-05;121
957959;On or near Shopping Area;from 2019-01 till 2019-05;121
967041;On or near High Road;from 2019-01 till 2019-05;121
956586;On or near Theatre/concert Hall;from 2019-01 till 2019-05;121
946035;On or near Theatre/concert Hall;from 2019-01 till 2019-05;121
934748;On or near Supermarket;from 2019-01 till 2019-05;121
935289;On or near Petrol Station;from 2019-01 till 2019-05;120
956557;On or near Theatre/concert Hall;from 2019-01 till 2019-05;120
956377;On or near Woodstock Street;from 2019-01 till 2019-05;120
964929;On or near Theatre/concert Hall;from 2019-01 till 2019-05;120
962515;On or near Parking Area;from 2019-01 till 2019-05;119
946205;On or near Bessemer Road;from 2019-01 till 2019-05;119
948407;On or near Shrapnel Close;from 2019-01 till 2019-05;119
949469;On or near South Lambeth Place;from 2019-01 till 2019-05;119
943983;On or near Strafford Road;from 2019-01 till 2019-05;118
961376;On or near Ezra Street;from 2019-01 till 2019-05;118
956320;On or near Princes Street;from 2019-01 till 2019-05;118
952532;On or near A402;from 2019-01 till 2019-05;118
971025;On or near Pedestrian Subway;from 2019-01 till 2019-05;118
967020;On or near Supermarket;from 2019-01 till 2019-05;118
1489569;Baker Street (lu Station);from 2019-01 till 2019-05;117
970987;On or near Postway Mews;from 2019-01 till 2019-05;117
963552;On or near Supermarket;from 2019-01 till 2019-05;117
957348;On or near Silver Road;from 2019-01 till 2019-05;117
960342;On or near Shopping Area;from 2019-01 till 2019-05;116
956110;On or near Winchester Square;from 2019-01 till 2019-05;116
587443;On or near Bell Inn Yard;from 2019-01 till 2019-05;116
928475;On or near Eresby Drive;from 2019-01 till 2019-05;115
1488691;Euston (station);from 2019-01 till 2019-05;115
953674;On or near Borough High Street;from 2019-01 till 2019-05;115
956337;On or near John Prince's Street;from 2019-01 till 2019-05;115
965390;On or near Glengall Passage;from 2019-01 till 2019-05;115
960542;On or near Judd Street;from 2019-01 till 2019-05;114
956547;On or near Nightclub;from 2019-01 till 2019-05;113
957054;On or near Praed Mews;from 2019-01 till 2019-05;113
956642;On or near Supermarket;from 2019-01 till 2019-05;113
932072;On or near Shopping Area;from 2019-01 till 2019-05;113
587299;On or near Alderman's Walk;from 2019-01 till 2019-05;112
966320;On or near Supermarket;from 2019-01 till 2019-05;112
961519;On or near Nightclub;from 2019-01 till 2019-05;112
956222;On or near Theatre/concert Hall;from 2019-01 till 2019-05;112
961447;On or near Old Street;from 2019-01 till 2019-05;111
1488499;Bond Street (lu Station);from 2019-01 till 2019-05;111
968937;On or near Homerton High Street;from 2019-01 till 2019-05;110
957936;On or near The Broadway;from 2019-01 till 2019-05;109
968312;On or near Hampton Court;from 2019-01 till 2019-05;109
960918;On or near St Chad's Street;from 2019-01 till 2019-05;109
987748;On or near Hospital;from 2019-01 till 2019-05;109
956203;On or near Adelaide Street;from 2019-01 till 2019-05;108
956850;On or near Granville Place;from 2019-01 till 2019-05;107
964822;On or near Caledonia Street;from 2019-01 till 2019-05;107
679528;On or near Parking Area;from 2019-01 till 2019-05;107
956589;On or near Sports/recreation Area;from 2019-01 till 2019-05;106
959765;On or near Conference/exhibition Centre;from 2019-01 till 2019-05;106
1489764;Highbury And Islington (station);from 2019-01 till 2019-05;106
953644;On or near Hospital;from 2019-01 till 2019-05;106
1156613;On or near Prison;from 2019-01 till 2019-05;105
963197;On or near Station Parade;from 2019-01 till 2019-05;105
956571;On or near Nightclub;from 2019-01 till 2019-05;105
978362;On or near High Road;from 2019-01 till 2019-05;104
963374;On or near Supermarket;from 2019-01 till 2019-05;104
973866;On or near Shopping Area;from 2019-01 till 2019-05;103
956381;On or near Dering Street;from 2019-01 till 2019-05;103
940382;On or near Catford Broadway;from 2019-01 till 2019-05;103
942591;On or near Police Station;from 2019-01 till 2019-05;102
956318;On or near Ramillies Street;from 2019-01 till 2019-05;102
956289;On or near A301;from 2019-01 till 2019-05;102
964796;On or near Angel Mews;from 2019-01 till 2019-05;101
972790;On or near Petrol Station;from 2019-01 till 2019-05;101
679526;On or near Parking Area;from 2019-01 till 2019-05;101
925923;On or near Grove Road;from 2019-01 till 2019-05;101
942582;On or near Acre Lane;from 2019-01 till 2019-05;100
942737;On or near Nightclub;from 2019-01 till 2019-05;100
944232;On or near Airport/airfield;from 2019-01 till 2019-05;100
928911;On or near Shopping Area;from 2019-01 till 2019-05;100
937747;On or near Supermarket;from 2019-01 till 2019-05;100
970992;On or near Cranbrook Road;from 2019-01 till 2019-05;100
975429;On or near Station Approach;from 2019-01 till 2019-05;100
970999;On or near Shopping Area;from 2019-01 till 2019-05;100
976032;On or near Sports/recreation Area;from 2019-01 till 2019-05;99
956371;On or near Shopping Area;from 2019-01 till 2019-05;99
956393;On or near Shopping Area;from 2019-01 till 2019-05;99
956526;On or near Cranbourn Street;from 2019-01 till 2019-05;99
961859;On or near Petrol Station;from 2019-01 till 2019-05;99
956559;On or near Theatre/concert Hall;from 2019-01 till 2019-05;99
943180;On or near Shopping Area;from 2019-01 till 2019-05;99
946243;On or near Melon Road;from 2019-01 till 2019-05;98
956533;On or near Carlisle Street;from 2019-01 till 2019-05;98
967925;On or near Hospital;from 2019-01 till 2019-05;98
955565;On or near Conference/exhibition Centre;from 2019-01 till 2019-05;98
963267;On or near Parking Area;from 2019-01 till 2019-05;98
953343;On or near Stafford Place;from 2019-01 till 2019-05;97
961892;On or near Supermarket;from 2019-01 till 2019-05;97
956593;On or near Theatre/concert Hall;from 2019-01 till 2019-05;97
968574;On or near Stanborough Passage;from 2019-01 till 2019-05;97
789933;On or near Shopping Area;from 2019-01 till 2019-05;97
792229;On or near Petrol Station;from 2019-01 till 2019-05;97
949926;On or near Nightingale Place;from 2019-01 till 2019-05;97
950369;On or near Shopping Area;from 2019-01 till 2019-05;97
964900;On or near Theatre/concert Hall;from 2019-01 till 2019-05;96
972147;On or near Highgate Hill;from 2019-01 till 2019-05;96
953777;On or near Elephant Road;from 2019-01 till 2019-05;95
955220;On or near Conference/exhibition Centre;from 2019-01 till 2019-05;95
956535;On or near Broadwick Street;from 2019-01 till 2019-05;95
956373;On or near Shopping Area;from 2019-01 till 2019-05;95
956319;On or near Ramillies Place;from 2019-01 till 2019-05;95
956552;On or near Nightclub;from 2019-01 till 2019-05;95
944290;On or near Canberra Road;from 2019-01 till 2019-05;95
941938;On or near Police Station;from 2019-01 till 2019-05;94
942929;On or near Belleville Road;from 2019-01 till 2019-05;94
959955;On or near Hospital;from 2019-01 till 2019-05;94
981787;On or near Glover Drive;from 2019-01 till 2019-05;94
956545;On or near Nightclub;from 2019-01 till 2019-05;93
963247;On or near Supermarket;from 2019-01 till 2019-05;93
964885;On or near Camden High Street;from 2019-01 till 2019-05;93
932121;On or near High Street;from 2019-01 till 2019-05;93
942560;On or near Coldharbour Lane;from 2019-01 till 2019-05;92
960907;On or near Parking Area;from 2019-01 till 2019-05;92
966390;On or near Shopping Area;from 2019-01 till 2019-05;92
959757;On or near Central Way;from 2019-01 till 2019-05;92
956478;On or near Old Compton Street;from 2019-01 till 2019-05;92
946120;On or near Supermarket;from 2019-01 till 2019-05;91
933843;On or near Shopping Area;from 2019-01 till 2019-05;91
